Epoch: [0][0/105], lr: 0.00100	Time 33.641 (33.641)	Data 11.144 (11.144)	Loss 2.4732 (2.4732)	Prec@1 9.722 (9.722)	Prec@5 55.556 (55.556)
Epoch: [0][20/105], lr: 0.00100	Time 1.896 (3.502)	Data 0.000 (0.531)	Loss 1.9271 (2.0604)	Prec@1 33.333 (30.093)	Prec@5 94.444 (78.770)
Epoch: [0][40/105], lr: 0.00100	Time 1.902 (2.754)	Data 0.000 (0.272)	Loss 1.1833 (1.8041)	Prec@1 54.167 (38.652)	Prec@5 95.833 (85.061)
Epoch: [0][60/105], lr: 0.00100	Time 2.044 (2.500)	Data 0.000 (0.183)	Loss 1.1180 (1.6170)	Prec@1 63.889 (44.103)	Prec@5 95.833 (88.684)
Epoch: [0][80/105], lr: 0.00100	Time 1.908 (2.363)	Data 0.000 (0.138)	Loss 1.0112 (1.4829)	Prec@1 61.111 (48.491)	Prec@5 95.833 (90.792)
Epoch: [0][100/105], lr: 0.00100	Time 1.910 (2.275)	Data 0.000 (0.110)	Loss 0.9563 (1.3840)	Prec@1 75.000 (52.049)	Prec@5 98.611 (92.162)
Test: [0/22]	Time 13.793 (13.793)	Loss 0.7864 (0.7864)	Prec@1 76.389 (76.389)	Prec@5 100.000 (100.000)
Test: [20/22]	Time 0.953 (1.587)	Loss 1.3140 (0.7122)	Prec@1 44.444 (76.124)	Prec@5 100.000 (99.405)
Testing Results: Prec@1 76.115 Prec@5 99.409 Loss 0.71185
Best Prec@1: 76.115

Epoch: [1][0/105], lr: 0.00100	Time 11.438 (11.438)	Data 9.402 (9.402)	Loss 0.8371 (0.8371)	Prec@1 68.056 (68.056)	Prec@5 100.000 (100.000)
Epoch: [1][20/105], lr: 0.00100	Time 1.888 (2.545)	Data 0.000 (0.592)	Loss 0.8945 (0.8281)	Prec@1 65.278 (71.098)	Prec@5 97.222 (98.148)
