Epoch: [0][0/118], lr: 0.00010	Time 18.455 (18.455)	Data 5.604 (5.604)	Loss 2.4717 (2.4717)	Prec@1 17.188 (17.188)	Prec@5 53.125 (53.125)
Epoch: [0][20/118], lr: 0.00010	Time 1.648 (2.453)	Data 0.000 (0.267)	Loss 1.9745 (2.2000)	Prec@1 42.188 (29.390)	Prec@5 82.812 (69.048)
Epoch: [0][40/118], lr: 0.00010	Time 1.698 (2.066)	Data 0.000 (0.137)	Loss 1.5828 (2.0108)	Prec@1 48.438 (33.651)	Prec@5 90.625 (78.277)
Epoch: [0][60/118], lr: 0.00010	Time 1.701 (1.937)	Data 0.000 (0.092)	Loss 1.6801 (1.8650)	Prec@1 46.875 (38.473)	Prec@5 87.500 (82.812)
Epoch: [0][80/118], lr: 0.00010	Time 1.654 (1.872)	Data 0.000 (0.069)	Loss 1.2335 (1.7457)	Prec@1 53.125 (41.995)	Prec@5 98.438 (85.552)
Epoch: [0][100/118], lr: 0.00010	Time 1.661 (1.829)	Data 0.000 (0.056)	Loss 1.1644 (1.6378)	Prec@1 60.938 (44.740)	Prec@5 96.875 (87.717)
Test: [0/24]	Time 3.435 (3.435)	Loss 0.8860 (0.8860)	Prec@1 70.312 (70.312)	Prec@5 98.438 (98.438)
Test: [20/24]	Time 0.768 (0.981)	Loss 1.4805 (1.1052)	Prec@1 54.688 (58.780)	Prec@5 95.312 (97.842)
Testing Results: Prec@1 58.793 Prec@5 97.900 Loss 1.10023
Best Prec@1: 58.793

Epoch: [1][0/118], lr: 0.00010	Time 4.605 (4.605)	Data 2.779 (2.779)	Loss 1.1818 (1.1818)	Prec@1 59.375 (59.375)	Prec@5 98.438 (98.438)
Epoch: [1][20/118], lr: 0.00010	Time 1.660 (1.808)	Data 0.000 (0.132)	Loss 1.1158 (1.1446)	Prec@1 56.250 (56.920)	Prec@5 96.875 (97.247)
Epoch: [1][40/118], lr: 0.00010	Time 1.682 (1.746)	Data 0.000 (0.068)	Loss 1.0890 (1.1171)	Prec@1 59.375 (58.003)	Prec@5 98.438 (97.637)
Epoch: [1][60/118], lr: 0.00010	Time 1.727 (1.728)	Data 0.000 (0.046)	Loss 0.9632 (1.0902)	Prec@1 64.062 (58.888)	Prec@5 98.438 (97.695)
Epoch: [1][80/118], lr: 0.00010	Time 1.690 (1.719)	Data 0.000 (0.034)	Loss 1.0138 (1.0723)	Prec@1 67.188 (60.089)	Prec@5 92.188 (97.492)
Epoch: [1][100/118], lr: 0.00010	Time 1.674 (1.712)	Data 0.000 (0.028)	Loss 0.7511 (1.0510)	Prec@1 68.750 (61.030)	Prec@5 96.875 (97.540)
Test: [0/24]	Time 4.445 (4.445)	Loss 0.8884 (0.8884)	Prec@1 62.500 (62.500)	Prec@5 100.000 (100.000)
Test: [20/24]	Time 0.776 (0.960)	Loss 1.3237 (1.0376)	Prec@1 57.812 (62.872)	Prec@5 98.438 (99.554)
Testing Results: Prec@1 63.058 Prec@5 99.541 Loss 1.02526
Best Prec@1: 63.058

Epoch: [2][0/118], lr: 0.00010	Time 4.730 (4.730)	Data 3.018 (3.018)	Loss 0.7518 (0.7518)	Prec@1 73.438 (73.438)	Prec@5 98.438 (98.438)
Epoch: [2][20/118], lr: 0.00010	Time 1.675 (1.828)	Data 0.000 (0.144)	Loss 0.9360 (0.8716)	Prec@1 64.062 (67.783)	Prec@5 100.000 (98.289)
Epoch: [2][40/118], lr: 0.00010	Time 1.679 (1.762)	Data 0.000 (0.074)	Loss 0.9083 (0.8989)	Prec@1 71.875 (67.683)	Prec@5 95.312 (98.056)
Epoch: [2][60/118], lr: 0.00010	Time 1.678 (1.743)	Data 0.000 (0.050)	Loss 0.8241 (0.8896)	Prec@1 71.875 (68.340)	Prec@5 98.438 (98.105)
Epoch: [2][80/118], lr: 0.00010	Time 1.670 (1.731)	Data 0.000 (0.037)	Loss 0.7700 (0.8880)	Prec@1 71.875 (67.940)	Prec@5 100.000 (98.148)
Epoch: [2][100/118], lr: 0.00010	Time 1.668 (1.721)	Data 0.000 (0.030)	Loss 0.8285 (0.8882)	Prec@1 71.875 (67.806)	Prec@5 100.000 (98.205)
Test: [0/24]	Time 4.167 (4.167)	Loss 0.9054 (0.9054)	Prec@1 62.500 (62.500)	Prec@5 100.000 (100.000)
Test: [20/24]	Time 0.770 (0.940)	Loss 1.4481 (0.9483)	Prec@1 56.250 (65.327)	Prec@5 95.312 (99.107)
Testing Results: Prec@1 65.420 Prec@5 99.213 Loss 0.93169
Best Prec@1: 65.420

Epoch: [3][0/118], lr: 0.00010	Time 5.719 (5.719)	Data 3.983 (3.983)	Loss 0.8329 (0.8329)	Prec@1 65.625 (65.625)	Prec@5 98.438 (98.438)
Epoch: [3][20/118], lr: 0.00010	Time 1.656 (1.864)	Data 0.000 (0.190)	Loss 0.7060 (0.7767)	Prec@1 75.000 (70.536)	Prec@5 98.438 (98.438)
Epoch: [3][40/118], lr: 0.00010	Time 1.698 (1.782)	Data 0.000 (0.097)	Loss 0.8409 (0.7929)	Prec@1 62.500 (70.427)	Prec@5 98.438 (98.590)
Epoch: [3][60/118], lr: 0.00010	Time 1.683 (1.755)	Data 0.000 (0.065)	Loss 0.8259 (0.7920)	Prec@1 65.625 (70.005)	Prec@5 98.438 (98.668)
Epoch: [3][80/118], lr: 0.00010	Time 1.689 (1.741)	Data 0.000 (0.049)	Loss 0.5455 (0.7826)	Prec@1 79.688 (70.312)	Prec@5 100.000 (98.688)
Epoch: [3][100/118], lr: 0.00010	Time 1.674 (1.729)	Data 0.000 (0.040)	Loss 0.6061 (0.7791)	Prec@1 79.688 (70.699)	Prec@5 100.000 (98.639)
Test: [0/24]	Time 3.530 (3.530)	Loss 0.8062 (0.8062)	Prec@1 71.875 (71.875)	Prec@5 100.000 (100.000)
Test: [20/24]	Time 0.769 (0.928)	Loss 1.2461 (0.8670)	Prec@1 60.938 (68.750)	Prec@5 98.438 (99.702)
Testing Results: Prec@1 69.160 Prec@5 99.738 Loss 0.84063
Best Prec@1: 69.160

