Epoch: [0][0/2049], lr: 0.00100	Time 4.000 (4.000)	Data 1.122 (1.122)	Loss 2.9515 (2.9515)	Prec@1 0.000 (0.000)	Prec@5 100.000 (100.000)
Epoch: [0][20/2049], lr: 0.00100	Time 0.089 (0.282)	Data 0.000 (0.053)	Loss 14.0141 (8.4285)	Prec@1 0.000 (14.286)	Prec@5 0.000 (38.095)
Epoch: [0][40/2049], lr: 0.00100	Time 0.089 (0.191)	Data 0.000 (0.027)	Loss 9.5467 (7.3723)	Prec@1 0.000 (9.756)	Prec@5 0.000 (43.902)
Epoch: [0][60/2049], lr: 0.00100	Time 0.102 (0.160)	Data 0.000 (0.018)	Loss 3.9488 (6.3458)	Prec@1 0.000 (13.115)	Prec@5 0.000 (40.984)
Epoch: [0][80/2049], lr: 0.00100	Time 0.090 (0.144)	Data 0.000 (0.014)	Loss 39.5230 (9.2121)	Prec@1 0.000 (13.580)	Prec@5 0.000 (45.679)
Epoch: [0][100/2049], lr: 0.00100	Time 0.102 (0.135)	Data 0.000 (0.011)	Loss 3.0603 (8.1775)	Prec@1 0.000 (10.891)	Prec@5 0.000 (43.564)
Epoch: [0][120/2049], lr: 0.00100	Time 0.086 (0.128)	Data 0.000 (0.009)	Loss 2.7600 (7.3052)	Prec@1 0.000 (9.091)	Prec@5 100.000 (49.587)
Epoch: [0][140/2049], lr: 0.00100	Time 0.097 (0.123)	Data 0.000 (0.008)	Loss 2.5518 (6.7206)	Prec@1 0.000 (9.929)	Prec@5 100.000 (52.482)
Epoch: [0][160/2049], lr: 0.00100	Time 0.091 (0.120)	Data 0.000 (0.007)	Loss 3.0322 (6.2428)	Prec@1 0.000 (10.559)	Prec@5 0.000 (53.416)
Epoch: [0][180/2049], lr: 0.00100	Time 0.090 (0.117)	Data 0.000 (0.006)	Loss 8.2599 (6.3245)	Prec@1 0.000 (12.155)	Prec@5 100.000 (55.801)
Epoch: [0][200/2049], lr: 0.00100	Time 0.099 (0.116)	Data 0.000 (0.006)	Loss 3.0640 (6.0879)	Prec@1 0.000 (11.940)	Prec@5 0.000 (55.721)
Epoch: [0][220/2049], lr: 0.00100	Time 0.110 (0.114)	Data 0.000 (0.005)	Loss 2.9294 (5.8017)	Prec@1 0.000 (11.765)	Prec@5 0.000 (53.846)
Epoch: [0][240/2049], lr: 0.00100	Time 0.087 (0.112)	Data 0.000 (0.005)	Loss 2.4576 (5.5396)	Prec@1 0.000 (13.278)	Prec@5 100.000 (54.357)
Epoch: [0][260/2049], lr: 0.00100	Time 0.098 (0.111)	Data 0.000 (0.004)	Loss 2.5954 (5.3320)	Prec@1 0.000 (13.027)	Prec@5 100.000 (53.640)
Epoch: [0][280/2049], lr: 0.00100	Time 0.093 (0.110)	Data 0.000 (0.004)	Loss 2.0600 (5.1310)	Prec@1 0.000 (13.523)	Prec@5 100.000 (54.804)
Epoch: [0][300/2049], lr: 0.00100	Time 0.091 (0.109)	Data 0.000 (0.004)	Loss 7.6105 (5.0395)	Prec@1 0.000 (13.289)	Prec@5 100.000 (54.153)
Epoch: [0][320/2049], lr: 0.00100	Time 0.091 (0.108)	Data 0.000 (0.004)	Loss 3.3985 (4.9605)	Prec@1 0.000 (13.396)	Prec@5 0.000 (53.271)
Epoch: [0][340/2049], lr: 0.00100	Time 0.086 (0.107)	Data 0.000 (0.003)	Loss 2.9004 (4.8233)	Prec@1 0.000 (13.490)	Prec@5 0.000 (53.959)
Epoch: [0][360/2049], lr: 0.00100	Time 0.105 (0.106)	Data 0.000 (0.003)	Loss 2.3825 (4.7005)	Prec@1 0.000 (13.573)	Prec@5 100.000 (54.294)
Epoch: [0][380/2049], lr: 0.00100	Time 0.103 (0.106)	Data 0.000 (0.003)	Loss 2.6241 (4.5928)	Prec@1 0.000 (13.911)	Prec@5 100.000 (54.331)
Epoch: [0][400/2049], lr: 0.00100	Time 0.096 (0.105)	Data 0.000 (0.003)	Loss 2.8244 (4.4886)	Prec@1 0.000 (14.214)	Prec@5 0.000 (54.364)
Epoch: [0][420/2049], lr: 0.00100	Time 0.099 (0.105)	Data 0.000 (0.003)	Loss 2.5778 (4.4049)	Prec@1 0.000 (14.014)	Prec@5 100.000 (53.919)
Epoch: [0][440/2049], lr: 0.00100	Time 0.090 (0.104)	Data 0.000 (0.003)	Loss 2.8685 (4.3202)	Prec@1 0.000 (14.286)	Prec@5 0.000 (54.422)
Epoch: [0][460/2049], lr: 0.00100	Time 0.091 (0.104)	Data 0.000 (0.003)	Loss 2.6617 (4.2422)	Prec@1 0.000 (14.967)	Prec@5 0.000 (54.230)
Epoch: [0][480/2049], lr: 0.00100	Time 0.089 (0.103)	Data 0.000 (0.002)	Loss 3.5216 (4.1748)	Prec@1 0.000 (14.761)	Prec@5 0.000 (54.470)
Epoch: [0][500/2049], lr: 0.00100	Time 0.087 (0.103)	Data 0.000 (0.002)	Loss 2.9989 (4.1200)	Prec@1 0.000 (14.770)	Prec@5 0.000 (53.493)
Epoch: [0][520/2049], lr: 0.00100	Time 0.090 (0.102)	Data 0.000 (0.002)	Loss 2.0987 (4.0585)	Prec@1 0.000 (14.971)	Prec@5 100.000 (54.127)
Epoch: [0][540/2049], lr: 0.00100	Time 0.095 (0.102)	Data 0.000 (0.002)	Loss 3.0537 (4.0146)	Prec@1 0.000 (14.603)	Prec@5 0.000 (53.789)
Epoch: [0][560/2049], lr: 0.00100	Time 0.087 (0.102)	Data 0.000 (0.002)	Loss 2.3676 (3.9630)	Prec@1 0.000 (14.260)	Prec@5 100.000 (54.011)
Epoch: [0][580/2049], lr: 0.00100	Time 0.088 (0.101)	Data 0.000 (0.002)	Loss 1.9578 (3.9115)	Prec@1 100.000 (14.630)	Prec@5 100.000 (54.733)
Epoch: [0][600/2049], lr: 0.00100	Time 0.098 (0.101)	Data 0.000 (0.002)	Loss 2.1679 (3.8589)	Prec@1 0.000 (14.809)	Prec@5 100.000 (55.574)
