Epoch: [0][0/2049], lr: 0.00100	Time 6.585 (6.585)	Data 0.656 (0.656)	Loss 3.0413 (3.0413)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][20/2049], lr: 0.00100	Time 0.196 (0.500)	Data 0.000 (0.031)	Loss 1.4650 (3.1877)	Prec@1 100.000 (9.524)	Prec@5 100.000 (42.857)
Epoch: [0][40/2049], lr: 0.00100	Time 0.195 (0.353)	Data 0.000 (0.016)	Loss 2.7366 (3.0025)	Prec@1 0.000 (9.756)	Prec@5 100.000 (41.463)
Epoch: [0][60/2049], lr: 0.00100	Time 0.209 (0.302)	Data 0.000 (0.011)	Loss 2.3832 (2.8902)	Prec@1 0.000 (14.754)	Prec@5 100.000 (45.902)
Epoch: [0][80/2049], lr: 0.00100	Time 0.195 (0.276)	Data 0.000 (0.008)	Loss 2.6765 (2.8559)	Prec@1 0.000 (16.049)	Prec@5 100.000 (48.148)
Epoch: [0][100/2049], lr: 0.00100	Time 0.197 (0.260)	Data 0.000 (0.007)	Loss 2.8765 (2.8200)	Prec@1 0.000 (16.832)	Prec@5 0.000 (47.525)
Epoch: [0][120/2049], lr: 0.00100	Time 0.194 (0.249)	Data 0.000 (0.005)	Loss 2.8780 (2.7602)	Prec@1 0.000 (17.355)	Prec@5 0.000 (48.760)
Epoch: [0][140/2049], lr: 0.00100	Time 0.200 (0.241)	Data 0.000 (0.005)	Loss 3.8258 (2.7129)	Prec@1 0.000 (17.021)	Prec@5 0.000 (52.482)
Epoch: [0][160/2049], lr: 0.00100	Time 0.194 (0.236)	Data 0.000 (0.004)	Loss 2.9583 (2.6920)	Prec@1 0.000 (17.391)	Prec@5 0.000 (53.416)
Epoch: [0][180/2049], lr: 0.00100	Time 0.191 (0.231)	Data 0.000 (0.004)	Loss 1.7932 (2.6768)	Prec@1 100.000 (17.680)	Prec@5 100.000 (53.591)
Epoch: [0][200/2049], lr: 0.00100	Time 0.196 (0.228)	Data 0.000 (0.003)	Loss 2.5405 (2.6659)	Prec@1 0.000 (17.413)	Prec@5 100.000 (53.731)
Epoch: [0][220/2049], lr: 0.00100	Time 0.187 (0.225)	Data 0.000 (0.003)	Loss 5.5125 (2.6559)	Prec@1 0.000 (18.100)	Prec@5 0.000 (54.751)
Epoch: [0][240/2049], lr: 0.00100	Time 0.195 (0.222)	Data 0.000 (0.003)	Loss 3.0736 (2.6455)	Prec@1 0.000 (18.257)	Prec@5 100.000 (55.187)
Epoch: [0][260/2049], lr: 0.00100	Time 0.193 (0.220)	Data 0.000 (0.003)	Loss 1.1990 (2.6027)	Prec@1 100.000 (19.540)	Prec@5 100.000 (57.088)
Epoch: [0][280/2049], lr: 0.00100	Time 0.198 (0.219)	Data 0.000 (0.002)	Loss 0.0159 (2.5595)	Prec@1 100.000 (22.064)	Prec@5 100.000 (58.007)
Epoch: [0][300/2049], lr: 0.00100	Time 0.191 (0.217)	Data 0.000 (0.002)	Loss 2.3781 (2.5696)	Prec@1 0.000 (20.930)	Prec@5 100.000 (57.807)
Epoch: [0][320/2049], lr: 0.00100	Time 0.198 (0.216)	Data 0.000 (0.002)	Loss 1.4145 (2.5551)	Prec@1 100.000 (21.495)	Prec@5 100.000 (59.190)
Epoch: [0][340/2049], lr: 0.00100	Time 0.194 (0.215)	Data 0.000 (0.002)	Loss 1.1480 (2.5330)	Prec@1 100.000 (23.167)	Prec@5 100.000 (60.411)
Epoch: [0][360/2049], lr: 0.00100	Time 0.195 (0.214)	Data 0.000 (0.002)	Loss 3.2862 (2.5309)	Prec@1 0.000 (23.546)	Prec@5 100.000 (60.942)
Epoch: [0][380/2049], lr: 0.00100	Time 0.193 (0.213)	Data 0.000 (0.002)	Loss 2.8080 (2.5201)	Prec@1 0.000 (23.885)	Prec@5 0.000 (60.892)
Epoch: [0][400/2049], lr: 0.00100	Time 0.198 (0.212)	Data 0.000 (0.002)	Loss 3.2188 (2.5197)	Prec@1 0.000 (23.192)	Prec@5 0.000 (61.596)
Epoch: [0][420/2049], lr: 0.00100	Time 0.193 (0.211)	Data 0.000 (0.002)	Loss 0.9527 (2.5032)	Prec@1 100.000 (23.040)	Prec@5 100.000 (61.995)
Epoch: [0][440/2049], lr: 0.00100	Time 0.195 (0.211)	Data 0.000 (0.002)	Loss 3.4189 (2.4942)	Prec@1 0.000 (22.449)	Prec@5 0.000 (62.812)
Epoch: [0][460/2049], lr: 0.00100	Time 0.193 (0.210)	Data 0.000 (0.001)	Loss 1.1968 (2.4757)	Prec@1 100.000 (22.343)	Prec@5 100.000 (63.557)
Epoch: [0][480/2049], lr: 0.00100	Time 0.199 (0.209)	Data 0.000 (0.001)	Loss 2.1194 (2.4548)	Prec@1 0.000 (23.285)	Prec@5 100.000 (64.033)
Epoch: [0][500/2049], lr: 0.00100	Time 0.193 (0.209)	Data 0.000 (0.001)	Loss 2.7417 (2.4323)	Prec@1 0.000 (23.952)	Prec@5 0.000 (64.271)
Epoch: [0][520/2049], lr: 0.00100	Time 0.195 (0.208)	Data 0.000 (0.001)	Loss 2.0115 (2.4087)	Prec@1 0.000 (24.952)	Prec@5 100.000 (64.875)
Epoch: [0][540/2049], lr: 0.00100	Time 0.195 (0.208)	Data 0.000 (0.001)	Loss 2.6022 (2.4042)	Prec@1 0.000 (24.769)	Prec@5 0.000 (65.250)
Epoch: [0][560/2049], lr: 0.00100	Time 0.195 (0.207)	Data 0.000 (0.001)	Loss 2.2585 (2.3750)	Prec@1 0.000 (25.847)	Prec@5 100.000 (65.775)
Epoch: [0][580/2049], lr: 0.00100	Time 0.198 (0.207)	Data 0.000 (0.001)	Loss 1.4585 (2.3713)	Prec@1 0.000 (26.162)	Prec@5 100.000 (66.093)
Epoch: [0][600/2049], lr: 0.00100	Time 0.195 (0.207)	Data 0.000 (0.001)	Loss 2.6572 (2.3766)	Prec@1 0.000 (26.123)	Prec@5 100.000 (66.223)
Epoch: [0][620/2049], lr: 0.00100	Time 0.195 (0.206)	Data 0.000 (0.001)	Loss 2.6811 (2.3811)	Prec@1 0.000 (25.765)	Prec@5 0.000 (66.023)
Epoch: [0][640/2049], lr: 0.00100	Time 0.196 (0.206)	Data 0.000 (0.001)	Loss 3.9193 (2.3826)	Prec@1 0.000 (25.117)	Prec@5 0.000 (66.303)
Epoch: [0][660/2049], lr: 0.00100	Time 0.195 (0.206)	Data 0.000 (0.001)	Loss 3.3185 (2.3660)	Prec@1 0.000 (25.416)	Prec@5 0.000 (67.171)
Epoch: [0][680/2049], lr: 0.00100	Time 0.195 (0.205)	Data 0.000 (0.001)	Loss 1.6017 (2.3495)	Prec@1 100.000 (25.844)	Prec@5 100.000 (67.695)
Epoch: [0][700/2049], lr: 0.00100	Time 0.197 (0.205)	Data 0.000 (0.001)	Loss 0.8699 (2.3377)	Prec@1 100.000 (26.106)	Prec@5 100.000 (68.188)
