Epoch: [0][0/2049], lr: 0.00100	Time 3.756 (3.756)	Data 0.772 (0.772)	Loss 3.0453 (3.0453)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][20/2049], lr: 0.00100	Time 0.060 (0.235)	Data 0.000 (0.037)	Loss 3.5679 (3.2308)	Prec@1 0.000 (19.048)	Prec@5 0.000 (33.333)
Epoch: [0][40/2049], lr: 0.00100	Time 0.052 (0.149)	Data 0.000 (0.019)	Loss 2.6598 (3.0395)	Prec@1 0.000 (21.951)	Prec@5 100.000 (43.902)
Epoch: [0][60/2049], lr: 0.00100	Time 0.056 (0.120)	Data 0.000 (0.013)	Loss 2.6277 (2.9967)	Prec@1 0.000 (18.033)	Prec@5 100.000 (42.623)
Epoch: [0][80/2049], lr: 0.00100	Time 0.056 (0.105)	Data 0.000 (0.010)	Loss 2.7367 (2.9653)	Prec@1 0.000 (14.815)	Prec@5 0.000 (45.679)
Epoch: [0][100/2049], lr: 0.00100	Time 0.053 (0.095)	Data 0.000 (0.008)	Loss 2.3784 (2.9640)	Prec@1 0.000 (11.881)	Prec@5 100.000 (44.554)
Epoch: [0][120/2049], lr: 0.00100	Time 0.058 (0.089)	Data 0.000 (0.006)	Loss 2.4625 (2.9218)	Prec@1 0.000 (12.397)	Prec@5 100.000 (45.455)
Epoch: [0][140/2049], lr: 0.00100	Time 0.054 (0.085)	Data 0.000 (0.006)	Loss 2.1212 (2.8817)	Prec@1 0.000 (12.057)	Prec@5 100.000 (47.518)
Epoch: [0][160/2049], lr: 0.00100	Time 0.058 (0.081)	Data 0.000 (0.005)	Loss 2.6527 (2.8512)	Prec@1 0.000 (13.665)	Prec@5 100.000 (48.447)
Epoch: [0][180/2049], lr: 0.00100	Time 0.062 (0.078)	Data 0.000 (0.004)	Loss 3.0918 (2.8745)	Prec@1 0.000 (14.365)	Prec@5 0.000 (49.724)
Epoch: [0][200/2049], lr: 0.00100	Time 0.056 (0.076)	Data 0.000 (0.004)	Loss 2.4656 (2.8259)	Prec@1 0.000 (14.925)	Prec@5 100.000 (52.736)
Epoch: [0][220/2049], lr: 0.00100	Time 0.059 (0.075)	Data 0.000 (0.004)	Loss 3.1489 (2.7946)	Prec@1 0.000 (15.837)	Prec@5 0.000 (53.846)
Epoch: [0][240/2049], lr: 0.00100	Time 0.054 (0.074)	Data 0.000 (0.003)	Loss 2.7653 (2.7955)	Prec@1 0.000 (14.938)	Prec@5 0.000 (53.112)
Epoch: [0][260/2049], lr: 0.00100	Time 0.057 (0.072)	Data 0.000 (0.003)	Loss 3.7513 (2.7907)	Prec@1 0.000 (14.176)	Prec@5 0.000 (53.640)
Epoch: [0][280/2049], lr: 0.00100	Time 0.055 (0.071)	Data 0.000 (0.003)	Loss 2.9414 (2.8336)	Prec@1 0.000 (15.658)	Prec@5 100.000 (55.160)
Epoch: [0][300/2049], lr: 0.00100	Time 0.057 (0.071)	Data 0.000 (0.003)	Loss 2.1609 (2.8331)	Prec@1 100.000 (15.282)	Prec@5 100.000 (54.485)
Epoch: [0][320/2049], lr: 0.00100	Time 0.050 (0.070)	Data 0.000 (0.002)	Loss 1.5640 (2.8161)	Prec@1 100.000 (15.576)	Prec@5 100.000 (54.517)
