Epoch: [0][0/123], lr: 0.00010	Time 10.035 (10.035)	Data 1.443 (1.443)	Loss 4.6426 (4.6426)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][20/123], lr: 0.00010	Time 0.641 (1.012)	Data 0.000 (0.069)	Loss 1.4627 (3.2555)	Prec@1 37.500 (28.571)	Prec@5 100.000 (69.643)
Epoch: [0][40/123], lr: 0.00010	Time 0.592 (0.791)	Data 0.000 (0.035)	Loss 0.8731 (2.1576)	Prec@1 50.000 (46.951)	Prec@5 100.000 (82.622)
Epoch: [0][60/123], lr: 0.00010	Time 0.565 (0.715)	Data 0.000 (0.024)	Loss 0.3098 (1.6140)	Prec@1 87.500 (60.246)	Prec@5 100.000 (87.910)
Epoch: [0][80/123], lr: 0.00010	Time 0.576 (0.674)	Data 0.000 (0.018)	Loss 0.2585 (1.2986)	Prec@1 87.500 (67.593)	Prec@5 100.000 (90.895)
Epoch: [0][100/123], lr: 0.00010	Time 0.522 (0.648)	Data 0.000 (0.014)	Loss 0.0473 (1.1025)	Prec@1 100.000 (71.906)	Prec@5 100.000 (92.698)
Epoch: [0][120/123], lr: 0.00010	Time 0.532 (0.632)	Data 0.000 (0.012)	Loss 0.0774 (0.9602)	Prec@1 100.000 (74.897)	Prec@5 100.000 (93.905)
Test: [0/49]	Time 2.490 (2.490)	Loss 0.0358 (0.0358)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [20/49]	Time 0.621 (0.703)	Loss 0.0845 (0.1174)	Prec@1 100.000 (95.833)	Prec@5 100.000 (100.000)
Test: [40/49]	Time 0.618 (0.651)	Loss 0.0126 (0.1638)	Prec@1 100.000 (95.122)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 95.887 Prec@5 100.000 Loss 0.14485
Best Prec@1: 95.887

Epoch: [1][0/123], lr: 0.00010	Time 2.367 (2.367)	Data 1.758 (1.758)	Loss 0.0851 (0.0851)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
