Epoch: [0][0/123], lr: 0.00010	Time 10.944 (10.944)	Data 3.882 (3.882)	Loss 4.6472 (4.6472)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][20/123], lr: 0.00010	Time 0.392 (0.857)	Data 0.002 (0.186)	Loss 1.9177 (3.2757)	Prec@1 37.500 (20.833)	Prec@5 100.000 (66.071)
Epoch: [0][40/123], lr: 0.00010	Time 0.361 (0.612)	Data 0.001 (0.095)	Loss 1.6159 (2.3820)	Prec@1 75.000 (36.890)	Prec@5 87.500 (80.793)
Epoch: [0][60/123], lr: 0.00010	Time 0.310 (0.529)	Data 0.000 (0.065)	Loss 1.3836 (1.9826)	Prec@1 37.500 (45.697)	Prec@5 100.000 (85.656)
Epoch: [0][80/123], lr: 0.00010	Time 0.317 (0.481)	Data 0.000 (0.049)	Loss 1.0913 (1.7040)	Prec@1 62.500 (51.852)	Prec@5 100.000 (89.198)
Epoch: [0][100/123], lr: 0.00010	Time 0.366 (0.458)	Data 0.000 (0.039)	Loss 0.6966 (1.5269)	Prec@1 75.000 (56.436)	Prec@5 100.000 (90.718)
Epoch: [0][120/123], lr: 0.00010	Time 0.358 (0.438)	Data 0.000 (0.033)	Loss 0.4183 (1.3943)	Prec@1 87.500 (59.711)	Prec@5 100.000 (92.149)
Test: [0/49]	Time 8.601 (8.601)	Loss 0.2773 (0.2773)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [20/49]	Time 0.172 (0.562)	Loss 1.6256 (0.5721)	Prec@1 37.500 (78.571)	Prec@5 100.000 (100.000)
Test: [40/49]	Time 0.171 (0.362)	Loss 0.9182 (0.7073)	Prec@1 100.000 (81.707)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 83.805 Prec@5 100.000 Loss 0.64960
Best Prec@1: 83.805

Epoch: [1][0/123], lr: 0.00010	Time 4.258 (4.258)	Data 3.770 (3.770)	Loss 0.1988 (0.1988)	Prec@1 87.500 (87.500)	Prec@5 100.000 (100.000)
Epoch: [1][20/123], lr: 0.00010	Time 0.284 (0.544)	Data 0.000 (0.180)	Loss 0.2079 (0.5014)	Prec@1 87.500 (83.333)	Prec@5 100.000 (99.405)
Epoch: [1][40/123], lr: 0.00010	Time 0.301 (0.453)	Data 0.000 (0.093)	Loss 1.2212 (0.6018)	Prec@1 37.500 (79.878)	Prec@5 100.000 (99.390)
Epoch: [1][60/123], lr: 0.00010	Time 0.368 (0.422)	Data 0.000 (0.063)	Loss 0.1468 (0.5891)	Prec@1 100.000 (81.557)	Prec@5 100.000 (99.590)
Epoch: [1][80/123], lr: 0.00010	Time 0.375 (0.409)	Data 0.000 (0.047)	Loss 0.2386 (0.5578)	Prec@1 87.500 (81.944)	Prec@5 100.000 (99.691)
Epoch: [1][100/123], lr: 0.00010	Time 0.333 (0.396)	Data 0.002 (0.038)	Loss 0.2314 (0.5658)	Prec@1 75.000 (82.054)	Prec@5 100.000 (99.752)
Epoch: [1][120/123], lr: 0.00010	Time 0.300 (0.386)	Data 0.000 (0.032)	Loss 0.1462 (0.5655)	Prec@1 87.500 (81.818)	Prec@5 100.000 (99.793)
Test: [0/49]	Time 2.201 (2.201)	Loss 1.1112 (1.1112)	Prec@1 37.500 (37.500)	Prec@5 100.000 (100.000)
Test: [20/49]	Time 0.143 (0.284)	Loss 0.7238 (0.4268)	Prec@1 100.000 (82.738)	Prec@5 100.000 (100.000)
Test: [40/49]	Time 0.135 (0.220)	Loss 0.4594 (0.4622)	Prec@1 100.000 (85.671)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 87.661 Prec@5 100.000 Loss 0.44432
Best Prec@1: 87.661

Epoch: [2][0/123], lr: 0.00010	Time 3.660 (3.660)	Data 3.105 (3.105)	Loss 0.0116 (0.0116)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Epoch: [2][20/123], lr: 0.00010	Time 0.285 (0.509)	Data 0.000 (0.148)	Loss 0.4700 (0.4574)	Prec@1 87.500 (86.310)	Prec@5 100.000 (99.405)
Epoch: [2][40/123], lr: 0.00010	Time 0.371 (0.443)	Data 0.000 (0.076)	Loss 0.2812 (0.3956)	Prec@1 87.500 (87.500)	Prec@5 100.000 (99.695)
Epoch: [2][60/123], lr: 0.00010	Time 0.348 (0.415)	Data 0.000 (0.052)	Loss 0.0421 (0.4155)	Prec@1 100.000 (86.270)	Prec@5 100.000 (99.590)
Epoch: [2][80/123], lr: 0.00010	Time 0.343 (0.399)	Data 0.000 (0.039)	Loss 0.8263 (0.3940)	Prec@1 75.000 (86.883)	Prec@5 100.000 (99.691)
